code_insee	Commune	Region	latitude	longitude	Population_Totale	Num_Region	Num_Dep	nbr_total_culturel	Nbre_culturels_N_habitants	Nbre culturels pour1000 habitants
1001.0	L'Abergement-Clémenciat	Auvergne-Rhône-Alpes	46.1534255214	4.92611354223	848.0	84.0	1.0	1	1.1792452830188678	1.1792452830188678
1004.0	Ambérieu-en-Bugey	Auvergne-Rhône-Alpes	45.9608475114	5.3729257777	15240.0	84.0	1.0	6	0.39370078740157477	0.39370078740157477
1005.0	Ambérieux-en-Dombes	Auvergne-Rhône-Alpes	45.9961799872	4.91227250796	1921.0	84.0	1.0	2	1.041124414367517	1.041124414367517
1007.0	Ambronay	Auvergne-Rhône-Alpes	46.0055913782	5.35760660735	2951.0	84.0	1.0	4	1.3554727211114876	1.3554727211114876
1008.0	Ambutrix	Auvergne-Rhône-Alpes	45.9367134524	5.3328092349	781.0	84.0	1.0	1	1.2804097311139564	1.2804097311139564
1009.0	Andert-et-Condon	Auvergne-Rhône-Alpes	45.7873565333	5.65788307924	330.0	84.0	1.0	1	3.0303030303030303	3.0303030303030303
1010.0	Anglefort	Auvergne-Rhône-Alpes	45.9093715116	5.79516005674	1149.0	84.0	1.0	2	1.7406440382941688	1.7406440382941688
1012.0	Aranc	Auvergne-Rhône-Alpes	46.0015344029	5.51130637511	340.0	84.0	1.0	1	2.941176470588235	2.941176470588235
1014.0	Arbent	Auvergne-Rhône-Alpes	46.2834936005	5.69061651221	3487.0	84.0	1.0	2	0.5735589331803843	0.5735589331803843
1021.0	Ars-sur-Formans	Auvergne-Rhône-Alpes	45.9934611	4.82199649494	1526.0	84.0	1.0	6	3.931847968545216	3.931847968545216
1022.0	Artemare	Auvergne-Rhône-Alpes	45.8695891748	5.69065283943	1193.0	84.0	1.0	1	0.8382229673093042	0.8382229673093042
1024.0	Attignat	Auvergne-Rhône-Alpes	46.2861802203	5.1795233845	3403.0	84.0	1.0	1	0.2938583602703497	0.2938583602703497
1025.0	Bâgé-Dommartin	Auvergne-Rhône-Alpes	46.3233203302	4.9528678933	4168.0	84.0	1.0	3	0.7197696737044146	0.7197696737044146
1026.0	Bâgé-le-Châtel	Auvergne-Rhône-Alpes	46.3077069231	4.92862084189	1046.0	84.0	1.0	3	2.868068833652008	2.868068833652008
1027.0	Balan	Auvergne-Rhône-Alpes	45.8311226453	5.10780019249	2744.0	84.0	1.0	1	0.36443148688046645	0.36443148688046645
1029.0	Beaupont	Auvergne-Rhône-Alpes	46.4288360203	5.26003405676	712.0	84.0	1.0	2	2.8089887640449436	2.8089887640449436
